               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.017541,            0.025325,          0.00089277,             0.89043,             0.87772,             0.93144,             0.75624,            0.017322,            0.031399,           0.0013904,            0.001585,            0.001585,            0.001585
                  87,            0.016812,            0.025063,          0.00090064,             0.87337,             0.88683,             0.93151,             0.75586,            0.017073,            0.031231,           0.0014336,            0.001486,            0.001486,            0.001486
                  88,            0.017923,            0.024106,           0.0010268,             0.88368,             0.87165,             0.93013,             0.75776,            0.016971,            0.031289,           0.0014357,            0.001387,            0.001387,            0.001387
                  89,            0.017218,            0.025338,           0.0010977,             0.88625,             0.87557,             0.92651,             0.75472,            0.017312,             0.03172,           0.0014001,            0.001288,            0.001288,            0.001288
                  90,            0.017752,             0.02568,           0.0012133,             0.88325,             0.88083,             0.92138,             0.75351,            0.017158,             0.03172,           0.0015422,            0.001189,            0.001189,            0.001189
                  91,            0.016331,            0.023103,           0.0011253,             0.87449,             0.88818,             0.92181,             0.75158,            0.017153,            0.031858,           0.0016006,             0.00109,             0.00109,             0.00109
                  92,            0.017186,            0.026864,          0.00073932,             0.88634,             0.88739,             0.92265,             0.75393,            0.017122,             0.03197,           0.0014641,            0.000991,            0.000991,            0.000991
                  93,            0.016905,            0.026752,          0.00099429,             0.89805,             0.87651,             0.92253,             0.75658,            0.017109,            0.031987,           0.0013228,            0.000892,            0.000892,            0.000892
                  94,            0.016898,            0.025154,          0.00082857,             0.90099,             0.87252,             0.92825,              0.7567,            0.017002,            0.031739,           0.0012848,            0.000793,            0.000793,            0.000793
                  95,            0.015706,            0.026232,          0.00088462,              0.9001,              0.8751,             0.92885,             0.76299,            0.017124,            0.031824,            0.001272,            0.000694,            0.000694,            0.000694
                  96,            0.015431,            0.023305,          0.00081738,             0.88763,             0.87593,             0.92955,             0.76165,            0.017069,            0.031933,            0.001307,            0.000595,            0.000595,            0.000595
                  97,            0.015719,            0.024271,            0.001337,             0.88228,             0.88377,             0.92946,              0.7624,            0.016969,            0.032044,           0.0012887,            0.000496,            0.000496,            0.000496
                  98,            0.016048,            0.025266,           0.0012984,             0.88143,             0.88731,             0.92839,             0.76117,            0.017132,            0.032078,           0.0012708,            0.000397,            0.000397,            0.000397
                  99,            0.015196,            0.024362,          0.00096009,             0.88367,             0.89259,              0.9282,             0.75902,            0.017114,            0.031875,           0.0013001,            0.000298,            0.000298,            0.000298
